gameId,blueWins,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueAvgLevel,blueTotalExperience,blueCSPerMin,blueGoldPerMin,blueWardsPlaced,blueWardsDestroyed,bluedragons,blueEliteMonsters,blueHeralds,blueBarons,blueTotalMastery,redKills,redDeaths,redAssists,redAvgLevel,redTotalExperience,redCSPerMin,redGoldPerMin,redWardsPlaced,redWardsDestroyed,reddragons,redEliteMonsters,redHeralds,redBarons,redTotalMastery
4519157822.0,0.0,0.0,13.0,12.0,15.0,10.2,28546.0,26.2,1870.8,44.0,11.0,2.0,2.0,0.0,0.0,2436419.0,11.0,13.0,17.0,10.0,28339.0,26.266666666666666,1825.2666666666667,26.0,15.0,0.0,2.0,2.0,0.0,429226.0
4523371949.0,0.0,1.0,9.0,8.0,13.0,9.4,24768.0,21.133333333333333,1491.6,20.0,8.0,0.0,0.0,0.0,0.0,211014.0,8.0,9.0,3.0,10.0,28790.0,31.533333333333335,1802.7333333333333,26.0,9.0,4.0,6.0,2.0,0.0,2235624.0
4521474530.0,0.0,1.0,13.0,15.0,9.0,10.2,28811.0,25.066666666666666,1789.4,25.0,7.0,2.0,4.0,2.0,0.0,718556.0,15.0,13.0,20.0,10.4,29492.0,26.8,1762.0666666666666,25.0,11.0,2.0,2.0,0.0,0.0,1981149.0
4524384067.0,0.0,1.0,11.0,11.0,10.0,10.6,30175.0,25.733333333333334,1720.6,67.0,7.0,0.0,2.0,2.0,0.0,691599.0,11.0,11.0,18.0,10.2,30169.0,30.466666666666665,1792.4,25.0,10.0,0.0,0.0,0.0,0.0,2241469.0
4436033771.0,0.0,1.0,11.0,14.0,10.0,10.2,30169.0,27.0,1739.1333333333334,123.0,12.0,0.0,0.0,0.0,0.0,4633579.0,14.0,11.0,17.0,10.6,31879.0,30.2,1989.9333333333334,27.0,13.0,2.0,4.0,2.0,0.0,479185.0
4475365709.0,1.0,1.0,10.0,8.0,13.0,10.2,29266.0,27.4,1742.5333333333333,35.0,7.0,4.0,6.0,2.0,0.0,1193660.0,8.0,10.0,5.0,10.4,31128.0,30.8,1696.5333333333333,57.0,16.0,0.0,0.0,0.0,0.0,322236.0
4493010632.0,1.0,0.0,11.0,9.0,9.0,9.8,28268.0,29.133333333333333,1877.1333333333334,23.0,9.0,2.0,4.0,2.0,0.0,864271.0,9.0,11.0,16.0,9.4,25647.0,23.2,1535.5333333333333,83.0,9.0,0.0,0.0,0.0,0.0,401540.0
4496759358.0,0.0,1.0,13.0,21.0,19.0,9.8,27125.0,23.733333333333334,1737.0,26.0,10.0,0.0,0.0,0.0,0.0,136071.0,20.0,13.0,19.0,9.6,27412.0,22.8,1972.0666666666666,24.0,8.0,2.0,4.0,2.0,0.0,382380.0
4443048030.0,0.0,1.0,15.0,13.0,18.0,10.8,31978.0,26.666666666666668,1787.6666666666667,26.0,9.0,2.0,2.0,0.0,0.0,225061.0,13.0,15.0,17.0,10.6,31289.0,29.4,2032.7333333333333,26.0,8.0,2.0,4.0,2.0,0.0,640835.0
4509433346.0,1.0,0.0,11.0,10.0,18.0,9.8,27694.0,26.733333333333334,1909.4,27.0,10.0,2.0,4.0,2.0,0.0,737572.0,10.0,11.0,9.0,10.0,29146.0,29.666666666666668,1804.8666666666666,26.0,10.0,0.0,0.0,0.0,0.0,1293803.0
